gene1125	K01624
gene1126	K01625
gene1127	K01626
gene1128	K01627
gene1129	K01628
gene1130	K01629
gene1131	K01630
gene1132	K01631
gene1133	K01632
gene1134	K01633
gene1135	K01634
gene1136	K01635
gene1137	K01636
gene1138	K01637
gene1139	K01638
gene1140	K01639
gene1141	K01640
gene1142	K01641
gene1143	K01643
gene1144	K01644
gene1145	K01646
gene1146	K01647
gene1147	K01649
gene1148	K01652
gene1149	K01653
gene1150	K01654
gene1151	K01655
gene1152	K01657
gene1153	K01658
gene1154	K01659
gene1155	K01661
gene1156	K01662
gene1157	K01663
gene1158	K01664
gene1159	K01665
gene1160	K01666
gene1161	K01667
gene1162	K01669
gene1163	K01671
gene1164	K01673
gene1165	K01674
gene1166	K01676
gene1167	K01677
gene1168	K01678
gene1169	K01679
gene1170	K01681
gene1171	K01682
gene1172	K01684
gene1173	K01685
gene1174	K01686
gene1175	K01687
gene1176	K01689
gene1177	K01690
gene1178	K01692
gene1179	K01693
gene1180	K01695
gene1181	K01696
gene1182	K01697
gene1183	K01698
gene1184	K01699
gene1185	K01703
gene1186	K01704
gene1187	K01705
gene1188	K01706
gene1189	K01708
gene1190	K01709
gene1191	K01710
gene1192	K01711
gene1193	K01712
gene1194	K01713
gene1195	K01714
gene1196	K01715
gene1197	K01716
gene1198	K01718
gene1199	K01719
gene1200	K01720
gene1201	K01724
gene1202	K01725
gene1203	K01726
gene1204	K01727
gene1205	K01728
gene1206	K01729
gene1207	K01730
gene1208	K01731
gene1209	K01732
gene1210	K01733
gene1211	K01734
gene1212	K01735
gene1213	K01736
gene1214	K01737
gene1215	K01738
gene1216	K01739
gene1217	K01740
gene1218	K01744
gene1219	K01745
gene1220	K01746
gene1221	K01749
gene1222	K01750
gene1223	K01751
gene1224	K01752
gene1225	K01753
gene1226	K01754
gene1227	K01755
gene1228	K01756
gene1229	K01758
gene1230	K01759
gene1231	K01760
gene1232	K01761
gene1233	K01766
gene1234	K01768
gene1235	K01769
gene1236	K01770
gene1237	K01771
gene1238	K01772
gene1239	K01774
gene1240	K01775
gene1241	K01776
gene1242	K01777
gene1243	K01778
gene1244	K01779
gene1245	K01780
gene1246	K01781
gene1247	K01782
gene1248	K01783
gene1249	K01784
gene1250	K01785
gene1251	K01786
gene1252	K01787
gene1253	K01788
gene1254	K01789
gene1255	K01790
gene1256	K01791
gene1257	K01792
gene1258	K01795
gene1259	K01796
gene1260	K01797
gene1261	K01799
gene1262	K01800
gene1263	K01802
gene1264	K01803
gene1265	K01804
gene1266	K01805
gene1267	K01807
gene1268	K01808
gene1269	K01809
gene1270	K01810
gene1271	K01811
gene1272	K01812
gene1273	K01813
gene1274	K01814
gene1275	K01815
gene1276	K01816
gene1277	K01817
gene1278	K01818
gene1279	K01819
gene1280	K01820
gene1281	K01821
gene1282	K01822
gene1283	K01823
gene1284	K01824
gene1285	K01825
gene1286	K01826
gene1287	K01828
gene1288	K01829
gene1289	K01833
gene1290	K01834
gene1291	K01835
gene1292	K01836
gene1293	K01838
gene1294	K01839
gene1295	K01840
gene1296	K01841
gene1297	K01842
gene1298	K01843
gene1299	K01844
gene1300	K01845
gene1301	K01846
gene1302	K01847
gene1303	K01848
gene1304	K01849
gene1305	K01850
gene1306	K01852
gene1307	K01854
gene1308	K01855
gene1309	K01856
gene1310	K01857
gene1311	K01858
gene1312	K01860
gene1313	K01865
gene1314	K01866
gene1315	K01867
gene1316	K01868
gene1317	K01869
gene1318	K01870
gene1319	K01872
gene1320	K01873
gene1321	K01874
gene1322	K01875
gene1323	K01876
gene1324	K01878
gene1325	K01879
gene1326	K01880
gene1327	K01881
gene1328	K01883
gene1329	K01884
gene1330	K01885
gene1331	K01886
gene1332	K01887
gene1333	K01889
gene1334	K01890
gene1335	K01892
gene1336	K01893
gene1337	K01894
gene1338	K01895
gene1339	K01897
gene1340	K01899
gene1341	K01900
gene1342	K01902
gene1343	K01903
gene1344	K01904
gene1345	K01905
gene1346	K01906
gene1347	K01907
gene1348	K01908
gene1349	K01909
gene1350	K01910
gene1351	K01911
gene1352	K01912
gene1353	K01913
gene1354	K01914
gene1355	K01915
gene1356	K01916
gene1357	K01917
gene1358	K01918
gene1359	K01919
gene1360	K01920
gene1361	K01921
gene1362	K01922
gene1363	K01923
gene1364	K01924
gene1365	K01925
gene1366	K01926
gene1367	K01928
gene1368	K01929
gene1369	K01932
gene1370	K01933
gene1371	K01934
gene1372	K01935
gene1373	K01937
gene1374	K01938
gene1375	K01939
gene1376	K01940
gene1377	K01941
gene1378	K01942
gene1379	K01945
gene1380	K01948
gene1381	K01949
gene1382	K01950
gene1383	K01951
gene1384	K01952
gene1385	K01953
gene1386	K01955
gene1387	K01956
gene1388	K01957
gene1389	K01958
gene1390	K01959
gene1391	K01960
gene1392	K01961
gene1393	K01962
gene1394	K01963
gene1395	K01964
gene1396	K01965
gene1397	K01966
gene1398	K01968
gene1399	K01969
gene1400	K01971
gene1401	K01972
gene1402	K01973
gene1403	K01974
gene1404	K01975
gene1405	K01976
gene1406	K01989
gene1407	K01990
gene1408	K01991
gene1409	K01992
gene1410	K01993
gene1411	K01994
gene1412	K01995
gene1413	K01996
gene1414	K01997
gene1415	K01998
gene1416	K01999
gene1417	K02000
gene1418	K02001
gene1419	K02002
gene1420	K02003
gene1421	K02004
gene1422	K02005
gene1423	K02006
gene1424	K02007
gene1425	K02008
gene1426	K02009
gene1427	K02010
gene1428	K02011
gene1429	K02012
gene1430	K02013
gene1431	K02014
gene1432	K02015
gene1433	K02016
gene1434	K02017
gene1435	K02018
gene1436	K02019
gene1437	K02020
gene1438	K02021
gene1439	K02022
gene1440	K02023
gene1441	K02024
gene1442	K02025
gene1443	K02026
gene1444	K02027
gene1445	K02028
gene1446	K02029
gene1447	K02030
gene1448	K02031
gene1449	K02032
gene1450	K02033
gene1451	K02034
gene1452	K02035
gene1453	K02036
gene1454	K02037
gene1455	K02038
gene1456	K02039
gene1457	K02040
gene1458	K02041
gene1459	K02042
gene1460	K02043
gene1461	K02044
gene1462	K02045
gene1463	K02046
gene1464	K02047
gene1465	K02048
gene1466	K02049
gene1467	K02050
gene1468	K02051
gene1469	K02052
gene1470	K02053
gene1471	K02054
gene1472	K02055
gene1473	K02056
gene1474	K02057
gene1475	K02058
gene1476	K02059
gene1477	K02061
gene1478	K02062
gene1479	K02063
gene1480	K02064
gene1481	K02065
gene1482	K02066
gene1483	K02067
gene1484	K02068
gene1485	K02069
gene1486	K02071
gene1487	K02072
gene1488	K02073
gene1489	K02074
gene1490	K02075
gene1491	K02076
gene1492	K02077
gene1493	K02078
gene1494	K02079
gene1495	K02080
gene1496	K02081
gene1497	K02082
gene1498	K02083
gene1499	K02086
