gene1018	K01647
gene1019	K01649
gene1020	K01652
gene1021	K01653
gene1022	K01654
gene1023	K01657
gene1024	K01658
gene1025	K01659
gene1026	K01661
gene1027	K01662
gene1028	K01663
gene1029	K01664
gene1030	K01665
gene1031	K01666
gene1032	K01667
gene1033	K01669
gene1034	K01673
gene1035	K01674
gene1036	K01676
gene1037	K01677
gene1038	K01678
gene1039	K01679
gene1040	K01681
gene1041	K01682
gene1042	K01684
gene1043	K01685
gene1044	K01686
gene1045	K01687
gene1046	K01689
gene1047	K01692
gene1048	K01693
gene1049	K01695
gene1050	K01696
gene1051	K01697
gene1052	K01698
gene1053	K01699
gene1054	K01703
gene1055	K01704
gene1056	K01706
gene1057	K01708
gene1058	K01709
gene1059	K01710
gene1060	K01711
gene1061	K01712
gene1062	K01713
gene1063	K01714
gene1064	K01715
gene1065	K01716
gene1066	K01718
gene1067	K01719
gene1068	K01720
gene1069	K01725
gene1070	K01726
gene1071	K01727
gene1072	K01728
gene1073	K01729
gene1074	K01730
gene1075	K01731
gene1076	K01732
gene1077	K01733
gene1078	K01734
gene1079	K01735
gene1080	K01736
gene1081	K01737
gene1082	K01738
gene1083	K01739
gene1084	K01740
gene1085	K01741
gene1086	K01744
gene1087	K01745
gene1088	K01746
gene1089	K01749
gene1090	K01750
gene1091	K01751
gene1092	K01752
gene1093	K01753
gene1094	K01754
gene1095	K01755
gene1096	K01756
gene1097	K01758
gene1098	K01759
gene1099	K01760
gene1100	K01761
gene1101	K01766
gene1102	K01768
gene1103	K01769
gene1104	K01770
gene1105	K01771
gene1106	K01772
gene1107	K01774
gene1108	K01775
gene1109	K01776
gene1110	K01777
gene1111	K01778
gene1112	K01779
gene1113	K01780
gene1114	K01781
gene1115	K01783
gene1116	K01784
gene1117	K01785
gene1118	K01786
gene1119	K01787
gene1120	K01788
gene1121	K01789
gene1122	K01790
gene1123	K01791
gene1124	K01792
gene1125	K01795
gene1126	K01796
gene1127	K01797
gene1128	K01798
gene1129	K01799
gene1130	K01802
gene1131	K01803
gene1132	K01804
gene1133	K01805
gene1134	K01807
gene1135	K01808
gene1136	K01809
gene1137	K01810
gene1138	K01811
gene1139	K01812
gene1140	K01813
gene1141	K01814
gene1142	K01815
gene1143	K01816
gene1144	K01817
gene1145	K01818
gene1146	K01819
gene1147	K01820
gene1148	K01821
gene1149	K01822
gene1150	K01823
gene1151	K01824
gene1152	K01826
gene1153	K01828
gene1154	K01829
gene1155	K01834
gene1156	K01835
gene1157	K01838
gene1158	K01839
gene1159	K01840
gene1160	K01841
gene1161	K01842
gene1162	K01843
gene1163	K01844
gene1164	K01845
gene1165	K01846
gene1166	K01847
gene1167	K01848
gene1168	K01849
gene1169	K01850
gene1170	K01854
gene1171	K01856
gene1172	K01857
gene1173	K01858
gene1174	K01865
gene1175	K01866
gene1176	K01867
gene1177	K01868
gene1178	K01869
gene1179	K01870
gene1180	K01872
gene1181	K01873
gene1182	K01874
gene1183	K01875
gene1184	K01876
gene1185	K01878
gene1186	K01879
gene1187	K01880
gene1188	K01881
gene1189	K01883
gene1190	K01884
gene1191	K01885
gene1192	K01886
gene1193	K01887
gene1194	K01889
gene1195	K01890
gene1196	K01892
gene1197	K01893
gene1198	K01894
gene1199	K01895
gene1200	K01897
gene1201	K01899
gene1202	K01900
gene1203	K01902
gene1204	K01903
gene1205	K01904
gene1206	K01905
gene1207	K01906
gene1208	K01907
gene1209	K01908
gene1210	K01909
gene1211	K01910
gene1212	K01911
gene1213	K01912
gene1214	K01913
gene1215	K01914
gene1216	K01915
gene1217	K01916
gene1218	K01917
gene1219	K01918
gene1220	K01919
gene1221	K01920
gene1222	K01921
gene1223	K01922
gene1224	K01923
gene1225	K01924
gene1226	K01925
gene1227	K01926
gene1228	K01928
gene1229	K01929
gene1230	K01932
gene1231	K01933
gene1232	K01934
gene1233	K01935
gene1234	K01937
gene1235	K01938
gene1236	K01939
gene1237	K01940
gene1238	K01941
gene1239	K01942
gene1240	K01945
gene1241	K01950
gene1242	K01951
gene1243	K01952
gene1244	K01953
gene1245	K01955
gene1246	K01956
gene1247	K01957
gene1248	K01958
gene1249	K01959
gene1250	K01960
gene1251	K01961
gene1252	K01962
gene1253	K01963
gene1254	K01964
gene1255	K01965
gene1256	K01966
gene1257	K01968
gene1258	K01969
gene1259	K01971
gene1260	K01972
gene1261	K01973
gene1262	K01974
gene1263	K01975
gene1264	K01976
gene1265	K01989
gene1266	K01990
gene1267	K01991
gene1268	K01992
gene1269	K01993
gene1270	K01994
gene1271	K01995
gene1272	K01996
gene1273	K01997
gene1274	K01998
gene1275	K01999
gene1276	K02000
gene1277	K02001
gene1278	K02002
gene1279	K02003
gene1280	K02004
gene1281	K02005
gene1282	K02006
gene1283	K02007
gene1284	K02008
gene1285	K02009
gene1286	K02010
gene1287	K02011
gene1288	K02012
gene1289	K02013
gene1290	K02014
gene1291	K02015
gene1292	K02016
gene1293	K02017
gene1294	K02018
gene1295	K02019
gene1296	K02020
gene1297	K02021
gene1298	K02022
gene1299	K02023
gene1300	K02024
gene1301	K02025
gene1302	K02026
gene1303	K02027
gene1304	K02028
gene1305	K02029
gene1306	K02030
gene1307	K02031
gene1308	K02032
gene1309	K02033
gene1310	K02034
gene1311	K02035
gene1312	K02036
gene1313	K02037
gene1314	K02038
gene1315	K02039
gene1316	K02040
gene1317	K02041
gene1318	K02042
gene1319	K02044
gene1320	K02045
gene1321	K02046
gene1322	K02047
gene1323	K02048
gene1324	K02049
gene1325	K02050
gene1326	K02051
gene1327	K02052
gene1328	K02053
gene1329	K02054
gene1330	K02055
gene1331	K02056
gene1332	K02057
gene1333	K02058
gene1334	K02059
gene1335	K02062
gene1336	K02063
gene1337	K02064
gene1338	K02065
gene1339	K02066
gene1340	K02067
gene1341	K02068
gene1342	K02069
gene1343	K02071
gene1344	K02072
gene1345	K02073
gene1346	K02074
gene1347	K02075
gene1348	K02076
gene1349	K02077
gene1350	K02078
gene1351	K02079
gene1352	K02081
gene1353	K02082
gene1354	K02083
gene1355	K02086
gene1356	K02099
gene1357	K02100
gene1358	K02102
gene1359	K02103
gene1360	K02106
gene1361	K02108
gene1362	K02109
gene1363	K02110
gene1364	K02111
gene1365	K02112
gene1366	K02113
gene1367	K02114
gene1368	K02115
gene1369	K02116
gene1370	K02117
gene1371	K02118
gene1372	K02119
gene1373	K02120
gene1374	K02121
gene1375	K02122
gene1376	K02123
gene1377	K02124
gene1378	K02132
gene1379	K02133
gene1380	K02145
gene1381	K02147
gene1382	K02148
gene1383	K02150
gene1384	K02155
gene1385	K02160
gene1386	K02167
gene1387	K02168
gene1388	K02169
gene1389	K02170
gene1390	K02172
gene1391	K02173
gene1392	K02182
gene1393	K02183
gene1394	K02188
gene1395	K02189
gene1396	K02190
gene1397	K02191
gene1398	K02192
gene1399	K02193
gene1400	K02194
gene1401	K02195
gene1402	K02197
gene1403	K02198
gene1404	K02199
gene1405	K02200
gene1406	K02201
gene1407	K02203
gene1408	K02204
gene1409	K02205
gene1410	K02206
gene1411	K02212
gene1412	K02217
gene1413	K02218
gene1414	K02221
gene1415	K02224
gene1416	K02226
gene1417	K02227
gene1418	K02230
gene1419	K02231
gene1420	K02232
gene1421	K02233
gene1422	K02234
gene1423	K02236
gene1424	K02237
gene1425	K02238
gene1426	K02240
gene1427	K02241
gene1428	K02242
gene1429	K02243
gene1430	K02244
gene1431	K02245
gene1432	K02246
gene1433	K02248
gene1434	K02250
gene1435	K02256
gene1436	K02262
gene1437	K02274
gene1438	K02278
gene1439	K02279
gene1440	K02280
gene1441	K02281
gene1442	K02282
gene1443	K02283
gene1444	K02288
gene1445	K02289
gene1446	K02291
gene1447	K02293
gene1448	K02300
gene1449	K02302
gene1450	K02303
gene1451	K02304
gene1452	K02312
gene1453	K02313
gene1454	K02314
gene1455	K02315
gene1456	K02316
gene1457	K02319
gene1458	K02322
gene1459	K02323
gene1460	K02324
gene1461	K02327
gene1462	K02330
gene1463	K02334
gene1464	K02335
gene1465	K02336
gene1466	K02337
gene1467	K02338
gene1468	K02339
gene1469	K02340
gene1470	K02341
gene1471	K02342
gene1472	K02343
gene1473	K02346
gene1474	K02347
gene1475	K02348
gene1476	K02349
gene1477	K02350
gene1478	K02355
gene1479	K02356
gene1480	K02357
gene1481	K02358
gene1482	K02361
gene1483	K02364
gene1484	K02371
gene1485	K02372
gene1486	K02377
gene1487	K02379
gene1488	K02380
gene1489	K02381
gene1490	K02383
gene1491	K02385
gene1492	K02386
gene1493	K02387
gene1494	K02388
gene1495	K02389
gene1496	K02390
gene1497	K02391
gene1498	K02392
gene1499	K02393
gene1500	K02394
gene1501	K02395
gene1502	K02396
gene1503	K02397
gene1504	K02398
gene1505	K02399
gene1506	K02400
gene1507	K02401
gene1508	K02404
gene1509	K02405
gene1510	K02406
gene1511	K02407
gene1512	K02408
gene1513	K02409
gene1514	K02410
gene1515	K02411
gene1516	K02412
gene1517	K02413
gene1518	K02414
gene1519	K02415
gene1520	K02416
gene1521	K02417
gene1522	K02418
gene1523	K02419
gene1524	K02420
gene1525	K02421
gene1526	K02422
gene1527	K02424
gene1528	K02426
gene1529	K02427
gene1530	K02428
gene1531	K02429
gene1532	K02430
gene1533	K02431
gene1534	K02433
gene1535	K02434
gene1536	K02435
gene1537	K02436
gene1538	K02437
gene1539	K02438
gene1540	K02439
gene1541	K02440
gene1542	K02441
gene1543	K02443
gene1544	K02444
gene1545	K02445
gene1546	K02446
gene1547	K02448
gene1548	K02450
gene1549	K02452
gene1550	K02453
gene1551	K02454
gene1552	K02455
gene1553	K02456
gene1554	K02457
gene1555	K02458
gene1556	K02459
gene1557	K02460
gene1558	K02461
gene1559	K02463
gene1560	K02466
gene1561	K02467
gene1562	K02468
gene1563	K02469
gene1564	K02470
gene1565	K02471
gene1566	K02472
gene1567	K02473
gene1568	K02474
gene1569	K02475
gene1570	K02476
gene1571	K02477
gene1572	K02478
gene1573	K02479
gene1574	K02480
gene1575	K02481
gene1576	K02482
gene1577	K02483
gene1578	K02484
gene1579	K02485
gene1580	K02486
gene1581	K02487
gene1582	K02488
gene1583	K02489
gene1584	K02490
gene1585	K02492
gene1586	K02493
gene1587	K02494
gene1588	K02495
gene1589	K02496
gene1590	K02498
gene1591	K02499
gene1592	K02500
gene1593	K02501
gene1594	K02502
gene1595	K02503
gene1596	K02504
gene1597	K02507
gene1598	K02508
gene1599	K02509
gene1600	K02510
gene1601	K02517
gene1602	K02518
gene1603	K02519
gene1604	K02520
gene1605	K02521
gene1606	K02523
gene1607	K02525
gene1608	K02526
gene1609	K02527
gene1610	K02528
gene1611	K02529
gene1612	K02530
gene1613	K02531
gene1614	K02532
gene1615	K02533
gene1616	K02535
gene1617	K02536
gene1618	K02538
gene1619	K02542
gene1620	K02545
gene1621	K02547
gene1622	K02548
gene1623	K02549
gene1624	K02551
gene1625	K02552
gene1626	K02554
gene1627	K02556
gene1628	K02557
gene1629	K02558
gene1630	K02563
gene1631	K02564
gene1632	K02565
gene1633	K02566
gene1634	K02567
gene1635	K02568
gene1636	K02569
gene1637	K02570
gene1638	K02572
gene1639	K02573
gene1640	K02574
gene1641	K02575
gene1642	K02584
gene1643	K02585
gene1644	K02586
gene1645	K02587
gene1646	K02588
gene1647	K02589
gene1648	K02590
gene1649	K02591
gene1650	K02592
gene1651	K02594
gene1652	K02596
gene1653	K02597
gene1654	K02598
gene1655	K02600
gene1656	K02601
gene1657	K02612
gene1658	K02613
gene1659	K02614
gene1660	K02616
gene1661	K02617
gene1662	K02619
