gene929	K01467
gene930	K01468
gene931	K01470
gene932	K01471
gene933	K01473
gene934	K01474
gene935	K01476
gene936	K01477
gene937	K01478
gene938	K01479
gene939	K01480
gene940	K01482
gene941	K01483
gene942	K01484
gene943	K01485
gene944	K01486
gene945	K01487
gene946	K01488
gene947	K01489
gene948	K01490
gene949	K01491
gene950	K01492
gene951	K01493
gene952	K01494
gene953	K01495
gene954	K01496
gene955	K01497
gene956	K01499
gene957	K01500
gene958	K01501
gene959	K01504
gene960	K01505
gene961	K01506
gene962	K01507
gene963	K01509
gene964	K01512
gene965	K01513
gene966	K01515
gene967	K01516
gene968	K01517
gene969	K01518
gene970	K01520
gene971	K01521
gene972	K01523
gene973	K01524
gene974	K01525
gene975	K01529
gene976	K01531
gene977	K01533
gene978	K01534
gene979	K01535
gene980	K01537
gene981	K01539
gene982	K01541
gene983	K01545
gene984	K01546
gene985	K01547
gene986	K01548
gene987	K01551
gene988	K01552
gene989	K01553
gene990	K01554
gene991	K01555
gene992	K01556
gene993	K01557
gene994	K01560
gene995	K01561
gene996	K01563
gene997	K01564
gene998	K01565
gene999	K01567
gene1000	K01569
gene1001	K01571
gene1002	K01572
gene1003	K01573
gene1004	K01574
gene1005	K01575
gene1006	K01576
gene1007	K01577
gene1008	K01578
gene1009	K01579
gene1010	K01580
gene1011	K01581
gene1012	K01582
gene1013	K01583
gene1014	K01584
gene1015	K01585
gene1016	K01586
gene1017	K01588
gene1018	K01589
gene1019	K01590
gene1020	K01591
gene1021	K01592
gene1022	K01593
gene1023	K01595
gene1024	K01596
gene1025	K01597
gene1026	K01598
gene1027	K01599
gene1028	K01601
gene1029	K01607
gene1030	K01608
gene1031	K01609
gene1032	K01610
gene1033	K01611
gene1034	K01612
gene1035	K01613
gene1036	K01615
gene1037	K01617
gene1038	K01618
gene1039	K01619
gene1040	K01620
gene1041	K01621
gene1042	K01623
gene1043	K01624
gene1044	K01625
gene1045	K01626
gene1046	K01627
gene1047	K01628
gene1048	K01629
gene1049	K01630
gene1050	K01631
gene1051	K01632
gene1052	K01633
gene1053	K01635
gene1054	K01636
gene1055	K01637
gene1056	K01638
gene1057	K01639
gene1058	K01640
gene1059	K01641
gene1060	K01643
gene1061	K01644
gene1062	K01646
gene1063	K01647
gene1064	K01649
gene1065	K01652
gene1066	K01653
gene1067	K01654
gene1068	K01655
gene1069	K01657
gene1070	K01658
gene1071	K01659
gene1072	K01661
gene1073	K01662
gene1074	K01664
gene1075	K01665
gene1076	K01666
gene1077	K01667
gene1078	K01668
gene1079	K01669
gene1080	K01671
gene1081	K01673
gene1082	K01674
gene1083	K01676
gene1084	K01677
gene1085	K01678
gene1086	K01679
gene1087	K01681
gene1088	K01682
gene1089	K01684
gene1090	K01685
gene1091	K01686
gene1092	K01687
gene1093	K01689
gene1094	K01690
gene1095	K01692
gene1096	K01693
gene1097	K01695
gene1098	K01696
gene1099	K01697
gene1100	K01698
gene1101	K01699
gene1102	K01703
gene1103	K01704
gene1104	K01705
gene1105	K01706
gene1106	K01707
gene1107	K01708
gene1108	K01709
gene1109	K01710
gene1110	K01711
gene1111	K01712
gene1112	K01713
gene1113	K01714
gene1114	K01715
gene1115	K01716
gene1116	K01718
gene1117	K01719
gene1118	K01720
gene1119	K01721
gene1120	K01724
gene1121	K01725
gene1122	K01726
gene1123	K01727
gene1124	K01728
gene1125	K01729
gene1126	K01730
gene1127	K01731
gene1128	K01732
gene1129	K01733
gene1130	K01734
gene1131	K01735
